OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_CODE,FMR_AREANAME,SHAPE_Length,SHAPE_Area
65,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.56322457618168,0.0525859571416133
66,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.881729314162756,0.0214621822744818
67,561,565,705,929,1043,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",0.712794703534585,0.0139004843674541
68,561,565,705,929,1043,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",0.940832094415802,0.0333074826315811
69,561,565,705,929,1043,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",0.935714676647815,0.0324485953971664
70,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.29625736575551,0.0276586061298476
71,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.28309539723825,0.038942187072076
72,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.20947430362183,0.0282584552862403
73,589,602,783,968,1158,NCNTY01011N01011,"Bullock County, AL",1.08440508680728,0.0419450545359715
74,589,602,783,968,1158,NCNTY01011N01011,"Bullock County, AL",1.18833677923937,0.040962170587399
75,530,619,705,953,956,NCNTY01111N01111,"Randolph County, AL",0.721894566549403,0.0296698016064883
76,530,619,705,953,956,NCNTY01111N01111,"Randolph County, AL",1.24350247915119,0.0336511891654131
77,655,659,861,1074,1168,NCNTY01017N01017,"Chambers County, AL",0.818076638753706,0.0306573118642582
78,655,659,861,1074,1168,NCNTY01017N01017,"Chambers County, AL",0.812802531018361,0.0178410337053891
79,655,659,861,1074,1168,NCNTY01017N01017,"Chambers County, AL",0.700035788516838,0.0199969581893183
80,553,557,733,966,1081,NCNTY01121N01121,"Talladega County, AL",0.761223604736542,0.0210759966969678
81,553,557,733,966,1081,NCNTY01121N01121,"Talladega County, AL",0.795695592396593,0.011669157745351
82,561,565,705,929,1043,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",0.960815157075218,0.0413129306842764
83,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",0.554429017665051,0.0165722374978551
84,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",0.383593690349873,0.0079647631723396
85,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",0.809554580656418,0.0167587710655372
86,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",0.95913081294253,0.0287166870465797
87,553,557,733,966,1081,NCNTY01121N01121,"Talladega County, AL",0.860138016954167,0.0207638803415676
88,553,557,733,966,1081,NCNTY01121N01121,"Talladega County, AL",0.95972764986043,0.0293563508605046
89,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.812183302040882,0.0240909750544299
90,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.0675008076953,0.0260523722788362
91,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.867775189274651,0.0114254077430882
92,530,619,705,982,1043,NCNTY01035N01035,"Conecuh County, AL",1.66916269997883,0.0515624763767213
93,530,619,705,982,1043,NCNTY01035N01035,"Conecuh County, AL",0.910951265660387,0.0212977560318171
94,530,619,705,982,1043,NCNTY01035N01035,"Conecuh County, AL",1.14371566508435,0.0536668161536555
95,530,619,705,982,1043,NCNTY01035N01035,"Conecuh County, AL",1.10051591419615,0.0458066816589984
96,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.14924930178065,0.0315183194990276
97,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",0.675309161560294,0.0170020319642602
98,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.03205990321771,0.0310660402630675
99,540,543,705,931,1112,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",0.786800719677995,0.0338763592509021
100,495,609,705,961,1120,NCNTY01027N01027,"Clay County, AL",1.41647446313298,0.0499044201945423
101,583,619,705,978,982,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0.792756200429648,0.0324843948641294
102,546,552,726,915,1243,NCNTY01087N01087,"Macon County, AL",0.736870661197188,0.0193133598516245
103,546,552,726,915,1243,NCNTY01087N01087,"Macon County, AL",1.10924793608501,0.0269400559932788
104,547,580,710,894,970,METRO23460M23460,"Gadsden, AL MSA",0.95719986861529,0.0204684935704158
105,547,580,710,894,970,METRO23460M23460,"Gadsden, AL MSA",0.751401238283324,0.00882125983960648
106,530,536,705,932,1206,NCNTY01093N01093,"Marion County, AL",0.892708648594215,0.0267146263970833
107,530,536,705,932,1206,NCNTY01093N01093,"Marion County, AL",0.576853864010712,0.0145514597968989
108,573,587,763,943,1035,NCNTY01131N01131,"Wilcox County, AL",1.12821553436567,0.0405216379632007
109,573,587,763,943,1035,NCNTY01131N01131,"Wilcox County, AL",1.62895883782889,0.0446053887491059
110,530,536,705,932,1206,NCNTY01093N01093,"Marion County, AL",1.0320250700976,0.0287711027655633
111,573,587,763,943,1035,NCNTY01131N01131,"Wilcox County, AL",1.43708976575382,0.0403727539102343
112,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.19442997362373,0.0380390272605933
113,540,543,705,931,1112,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",1.01715633535541,0.0336286683670944
114,540,543,705,931,1112,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",0.862105786807494,0.0296622286170863
115,530,536,705,929,1145,NCNTY01039N01039,"Covington County, AL",2.31960132849271,0.0892511569871367
116,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",0.797977149729544,0.024619819538137
117,562,565,744,988,1111,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",1.19329240797345,0.0518675382564942
118,562,565,744,988,1111,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",0.798590256587818,0.0179962172302743
119,562,565,744,988,1111,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",0.82377254318512,0.0172978701562669
120,530,588,705,871,1171,NCNTY01059N01059,"Franklin County, AL",1.38331296907155,0.0687014249499674
121,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.575172577584596,0.013663628003838
122,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.717706699303211,0.00826400062900439
123,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.743754663854193,0.0121812679501939
124,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.894831416521313,0.0187154068228401
125,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.781281648840608,0.0189305929243088
126,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.67095298907095,0.0973180894915001
127,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.0891605017495,0.0402237482431638
128,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",0.874640655524128,0.0206668999470768
129,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",0.81579756387647,0.0223322875606543
130,637,652,848,1048,1150,NCNTY01119N01119,"Sumter County, AL",1.09932540074133,0.028171975272245
131,637,652,848,1048,1150,NCNTY01119N01119,"Sumter County, AL",1.74236143381491,0.0633636001577749
132,532,536,705,871,980,NCNTY01005N01005,"Barbour County, AL",1.1860836699405,0.0493937386806303
133,532,536,705,871,980,NCNTY01005N01005,"Barbour County, AL",1.00280552967524,0.0326898738135573
134,532,536,705,871,980,NCNTY01005N01005,"Barbour County, AL",1.16483431990385,0.0336461207904648
135,547,580,710,894,970,METRO23460M23460,"Gadsden, AL MSA",1.44975931583308,0.0495555911752856
136,495,609,705,961,1120,NCNTY01027N01027,"Clay County, AL",1.08204903704931,0.0473775145633015
137,495,609,705,961,1120,NCNTY01027N01027,"Clay County, AL",1.3485221564362,0.054610241859251
138,527,545,717,981,1181,NCNTY01123N01123,"Tallapoosa County, AL",0.930832450697404,0.0283350703699462
139,530,536,705,871,1043,NCNTY01041N01041,"Crenshaw County, AL",1.51190607550642,0.0457740225836677
140,530,536,705,871,1043,NCNTY01041N01041,"Crenshaw County, AL",1.10387895393382,0.0445245155751625
141,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",0.956089548767719,0.0279189908867964
142,530,536,705,871,1043,NCNTY01041N01041,"Crenshaw County, AL",1.40080253130266,0.0602861877818208
143,634,666,843,1051,1247,NCNTY01109N01109,"Pike County, AL",0.919894402323018,0.0282250794093046
144,634,666,843,1051,1247,NCNTY01109N01109,"Pike County, AL",0.78611201754716,0.0260025868271375
145,530,536,705,932,1206,NCNTY01093N01093,"Marion County, AL",0.893888970476208,0.0265365760625862
146,530,536,705,932,1206,NCNTY01093N01093,"Marion County, AL",1.52619150665317,0.0544219180554336
147,530,536,705,932,1206,NCNTY01093N01093,"Marion County, AL",0.698408071235093,0.0150985177278127
148,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.778542953998218,0.0139680825796962
149,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",1.136903365935,0.0231447998196455
150,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",1.42599305789708,0.0444718207691085
151,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.513788006528065,0.00933682522148357
152,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",1.76830752364532,0.104351458349214
153,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",0.789541719830936,0.0259567336631207
154,530,573,705,883,1160,NCNTY01053N01053,"Escambia County, AL",1.03197977478983,0.0405114843331715
155,662,690,861,1148,1244,METRO33660M33660,"Mobile, AL HUD Metro FMR Area",1.59178851158381,0.0367067088189122
156,662,690,861,1148,1244,METRO33660M33660,"Mobile, AL HUD Metro FMR Area",0.901155225235225,0.0317289137847914
157,662,690,861,1148,1244,METRO33660M33660,"Mobile, AL HUD Metro FMR Area",2.21360470105724,0.0904786255323593
158,662,690,861,1148,1244,METRO33660M33660,"Mobile, AL HUD Metro FMR Area",0.991857341901269,0.0268516852469645
159,634,666,843,1051,1247,NCNTY01109N01109,"Pike County, AL",1.08331151660637,0.0326953627257357
160,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.815610964868993,0.0114331428133376
161,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.712521120455181,0.015040762562333
162,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.740583411578326,0.013959622591396
163,530,536,705,900,956,NCNTY01127N01127,"Walker County, AL",0.828618735904651,0.0188673444052322
164,634,666,843,1051,1247,NCNTY01109N01109,"Pike County, AL",0.942909800935998,0.0201561989513204
165,530,573,705,883,1160,NCNTY01053N01053,"Escambia County, AL",1.64025632522694,0.0901750541269553
166,530,573,705,883,1160,NCNTY01053N01053,"Escambia County, AL",0.809701962949654,0.0280334094917287
167,530,573,705,883,1160,NCNTY01053N01053,"Escambia County, AL",0.930016677380564,0.0315312624615143
168,530,573,705,883,1160,NCNTY01053N01053,"Escambia County, AL",1.08099334696737,0.0431937025278787
169,529,561,738,912,1001,NCNTY01047N01047,"Dallas County, AL",1.61461798773768,0.0524757801577698
170,529,561,738,912,1001,NCNTY01047N01047,"Dallas County, AL",1.85403811803813,0.0664066540032622
171,530,536,705,980,984,NCNTY01133N01133,"Winston County, AL",1.51151122728776,0.0474594271421631
172,589,602,783,968,1158,NCNTY01011N01011,"Bullock County, AL",1.03351246973914,0.0334877449134451
173,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.645749648265436,0.0148229722964136
174,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.591194036787883,0.0127179072787713
175,525,575,751,935,1173,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",0.751386322224811,0.0142950763337273
176,525,575,751,935,1173,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",0.877614313187561,0.0314327134250585
177,547,580,710,894,970,METRO23460M23460,"Gadsden, AL MSA",0.782946617421059,0.0201267725792371
178,547,580,710,894,970,METRO23460M23460,"Gadsden, AL MSA",0.626132808465871,0.0176077984252063
179,547,580,710,894,970,METRO23460M23460,"Gadsden, AL MSA",0.540352791500543,0.00935235824617421
180,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",2.14675708985844,0.128713774972389
181,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",0.637945170208374,0.0161470707213562
182,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",1.42275901815876,0.0419133228104478
183,468,555,705,953,1054,NCNTY01049N01049,"DeKalb County, AL",0.609329865089494,0.0148386974721517
184,468,555,705,953,1054,NCNTY01049N01049,"DeKalb County, AL",0.763133220217089,0.021016401336427
185,468,555,705,953,1054,NCNTY01049N01049,"DeKalb County, AL",0.726799416480964,0.0241417472714639
186,583,619,705,978,982,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0.836956432666562,0.0214497042521021
187,583,619,705,978,982,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",1.06947991499612,0.0435438392078183
188,583,619,705,978,982,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0.894295715974586,0.0271321728521953
189,583,619,705,978,982,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0.877974007350639,0.0251322937279857
190,546,586,727,1033,1154,NCNTY01031N01031,"Coffee County, AL",1.30458900753509,0.0526361049890669
191,546,586,727,1033,1154,NCNTY01031N01031,"Coffee County, AL",0.603043699192414,0.012184005150691
192,546,586,727,1033,1154,NCNTY01031N01031,"Coffee County, AL",0.855812400511256,0.0232037627648562
193,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",0.632687288924376,0.0115611634838792
194,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",0.734036629325618,0.0254935389199608
195,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.55789121403062,0.0463035264592311
196,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.15554799767117,0.0379958673839269
197,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",0.749061595060007,0.0309645655678347
198,543,566,705,901,956,METRO33660M01129,"Washington County, AL HUD Metro FMR Area",1.56131875036116,0.0617331755770869
199,543,566,705,901,956,METRO33660M01129,"Washington County, AL HUD Metro FMR Area",1.24825326384612,0.0379417565315438
200,543,566,705,901,956,METRO33660M01129,"Washington County, AL HUD Metro FMR Area",1.23560688069962,0.0708436572742425
201,530,536,705,980,984,NCNTY01133N01133,"Winston County, AL",1.35965393858357,0.0616472939032566
202,530,536,705,980,984,NCNTY01133N01133,"Winston County, AL",0.79392836941628,0.0253745547261324
203,530,536,705,980,984,NCNTY01133N01133,"Winston County, AL",0.721504147020519,0.0254952221763609
204,562,565,705,871,956,METRO46220M01063,"Greene County, AL HUD Metro FMR Area",0.836020869725956,0.0180694742822122
205,562,565,705,871,956,METRO46220M01063,"Greene County, AL HUD Metro FMR Area",1.72268269687226,0.0586463892313126
206,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",2.59006825539132,0.0802847316004371
207,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.732384573841193,0.00822550576289433
208,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.584632138729922,0.0112864572930721
209,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.795494192352486,0.0107611664054456
210,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.370943028838998,0.0052797406061272
211,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.683514586013058,0.00904302553358803
212,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.872765542052521,0.0118139582794948
213,530,589,705,915,956,NCNTY01075N01075,"Lamar County, AL",1.0291532783711,0.0495816612551434
214,530,589,705,915,956,NCNTY01075N01075,"Lamar County, AL",1.06517970244666,0.0549889606954024
215,561,565,705,929,1043,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",0.803624814162167,0.0181693084706385
216,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",0.991464565048582,0.0177791320952652
217,530,619,705,906,1043,NCNTY01091N01091,"Marengo County, AL",0.805650788912635,0.022118598540988
218,530,619,705,922,1040,NCNTY01099N01099,"Monroe County, AL",1.00200988401311,0.0314625490266368
219,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",1.12919934573685,0.0350463622487379
220,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",1.21805408308607,0.0407579525721912
221,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",0.936847016888744,0.0267454265198303
222,562,565,744,988,1111,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",0.811603495387175,0.0180262130976179
223,562,565,744,988,1111,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",0.919691584521326,0.0235128982910009
224,562,565,744,988,1111,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",0.897629751190996,0.0256407039992493
225,637,652,848,1048,1150,NCNTY01119N01119,"Sumter County, AL",0.594535955512482,0.0211308758447975
226,637,652,848,1048,1150,NCNTY01119N01119,"Sumter County, AL",1.080320755784,0.0314314206098451
227,637,652,848,1048,1150,NCNTY01119N01119,"Sumter County, AL",1.10002725758011,0.0212504280466773
228,637,652,848,1048,1150,NCNTY01119N01119,"Sumter County, AL",1.76158253437567,0.0618622632649983
229,655,659,861,1074,1168,NCNTY01017N01017,"Chambers County, AL",1.18384295484411,0.0453910541082914
230,655,659,861,1074,1168,NCNTY01017N01017,"Chambers County, AL",0.615301888513235,0.0202319833439039
231,540,630,718,888,1062,NCNTY01105N01105,"Perry County, AL",0.918818590527923,0.0329730812381778
232,540,630,718,888,1062,NCNTY01105N01105,"Perry County, AL",1.38609493391888,0.0658980017078254
233,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",1.12485394204607,0.0224656427639638
234,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",0.788870034795836,0.0197969985647215
235,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",1.03810770903248,0.0328609056634126
236,573,587,763,943,1035,NCNTY01131N01131,"Wilcox County, AL",1.28500676869783,0.0461879529838437
237,573,587,763,943,1035,NCNTY01131N01131,"Wilcox County, AL",1.16290054221994,0.0525780114880709
238,559,607,747,1009,1013,NCNTY01043N01043,"Cullman County, AL",0.702909371375806,0.0145207417928754
239,559,607,747,1009,1013,NCNTY01043N01043,"Cullman County, AL",0.989294211131248,0.0204938033584933
240,559,607,747,1009,1013,NCNTY01043N01043,"Cullman County, AL",0.860068290894743,0.0213119681854865
241,559,607,747,1009,1013,NCNTY01043N01043,"Cullman County, AL",0.745295668269673,0.0164587338332183
242,559,607,747,1009,1013,NCNTY01043N01043,"Cullman County, AL",0.729021902670086,0.0185672158079767
243,559,607,747,1009,1013,NCNTY01043N01043,"Cullman County, AL",0.631861848892762,0.0152186240254832
244,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.11259343635554,0.0378686258094029
245,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.17074153352127,0.0339115869664172
246,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.846375679780998,0.0269864493815004
247,530,619,705,871,1043,NCNTY01013N01013,"Butler County, AL",1.27154480261199,0.0673825039288074
248,530,536,705,982,1006,NCNTY01019N01019,"Cherokee County, AL",1.09234508974188,0.0261147108439587
249,530,619,705,982,1043,NCNTY01035N01035,"Conecuh County, AL",1.07509941000974,0.0371857027415075
250,559,607,747,1009,1013,NCNTY01043N01043,"Cullman County, AL",0.736201452067144,0.013140126749305
251,535,538,705,952,956,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",1.06351368994811,0.0379138266144864
252,550,553,715,957,970,NCNTY01095N01095,"Marshall County, AL",1.1651135377315,0.0390942132996593
